,0,1,2
Print_Comprehension,3.392670157068063,2.976,3.413680781758958
Print_Trust,3.358638743455497,2.5493333333333332,3.234527687296417
Digital_Fatigue,3.9083769633507854,2.8906666666666667,3.2833876221498373
Digital_Overload,3.643979057591623,2.2613333333333334,2.6058631921824102
Privacy_Concern,3.4476439790575917,3.6906666666666665,3.586319218241042
Future_Online_Intent,3.761780104712042,3.6986666666666665,2.530944625407166
Print_Disappearance_Concern,3.0366492146596857,3.8026666666666666,3.3648208469055376
Health_Concern,3.81151832460733,3.256,2.9446254071661238
Student_Print_Preference,3.5340314136125652,4.08,2.798045602605863
Size,382.0,375.0,307.0
