Cluster,Print_Comprehension,Print_Trust,Digital_Fatigue,Digital_Overload,Privacy_Concern,Future_Online_Intent,Print_Disappearance_Concern,Health_Concern,Student_Print_Preference,Size
0,3.392670157068063,3.358638743455497,3.9083769633507854,3.643979057591623,3.4476439790575917,3.761780104712042,3.0366492146596857,3.81151832460733,3.5340314136125652,382
1,2.976,2.5493333333333332,2.8906666666666667,2.2613333333333334,3.6906666666666665,3.6986666666666665,3.8026666666666666,3.256,4.08,375
2,3.413680781758958,3.234527687296417,3.2833876221498373,2.6058631921824102,3.586319218241042,2.530944625407166,3.3648208469055376,2.9446254071661238,2.798045602605863,307
